ninds_aff_name,mean_funding
centre for addiction and mental health,91295.0
"cerebral data systems, inc.",85350.0
"ceregene, inc.",289500.0
"cersci therapeutics, inc.",221823.0
cfd research corporation,171318.0
"chalklabs, llc",157500.0
chapman university,177854.5
charcot-marie-tooth association,15000.0
"charite, universitaetsmedizin berlin",135844.67
charles r. drew university of med & sci,208496.0
charles stark draper laboratory,237152.5
"chatten associates, inc.",276604.75
chiari and syringomyelia foundation,6000.0
chicago assn for research & educ in sci,138572.33
chicago institute for neuro surgery/res,167265.0
"children's healthcare of atlanta, inc.",259390.0
children's healthcare system of atlanta,253992.0
children's hosp of philadelphia,329688.24
children's hosp pittsburgh/upmc hlth sys,170143.67
children's hospital,363391.75
children's hospital & res ctr at oakland,192500.0
children's hospital (columbus),131306.38
children's hospital and health center,212143.6
children's hospital boston,318789.96
children's hospital corporation,402931.71
children's hospital los angeles,195943.38
children's hospital med ctr (c,
children's hospital med ctr (cincinnati),323637.96
children's hospital medical center cinci,273234.1
children's hospital of los angeles,293999.19
children's hospital of orange county,214829.67
children's hospital of philade,
children's hospital of philadelphia,270575.33
children's hospital research center,648956.0
children's memorial hospital (chicago),323038.23
children's national medical center,169975.73
children's research institute,272301.81
children's tumor foundation,9638.29
childrens hospital of philadelphia,329594.1
chinese university of hong kong,75065.33
cincinnati childrens hosp med ctr,455997.63
cinvestav-ipn,153293.0
"circadian technologies, inc.",93457.0
"circumvent pharmaceuticals, inc.",198790.0
city college of new york,287205.66
city of hope/beckman research institute,239716.67
claremont mc kenna college,89564.5
"clarian health partners, inc.",66319.0
clark atlanta university,254454.8
clarkson university,132846.89
clarus medical systems,156475.6
clemson university,278820.75
cleveland clinic foundation,226112.89
cleveland clinic lerner col/med-cwru,340697.02
cleveland clinic lerner com-cwru,396030.79
"cleveland medical devices, inc.",327299.35
cleveland state university,80663.5
cleveland va medical research/ed/fdn,327033.0
"clever systems, inc.",243079.33
clinical research institute of montreal,94812.5
"cocensys, inc.",146330.0
"cognetix, inc.",166767.38
"cognition therapeutics, inc.",47345.33
"cognizance biomarkers, llc",305119.33
"cognosci, inc.",318363.59
colby-sawyer college,101185.0
cold spring harbor laboratory,185858.51
colgate university,76953.33
"colla-tec, inc.",250000.0
"collaborations pharmaceuticals, inc.",172541.33
"collaborative drug discovery, inc.",151278.6
"collaborative research, inc.",327782.11
"collagen matrix, inc.",396568.6
college at geneseo,370245.0
college of charleston,432696.0
college of staten island,195600.0
college of the holy cross,111254.0
college of william and mary,143796.81
colorado neurological institute,149671.67
colorado school of mines,313221.33
colorado state university,253503.96
colorado state university-fort collins,200154.91
colorado state university-pueblo,303826.0
columbia univ new york morningside,283235.25
columbia university health sciences,360378.42
"computational diagnostics, inc.",174937.5
"computer lifeguard, inc.",113500.0
"conservocare, llc",125374.0
consultants in behavioral research,237220.0
coriell institute for medical research,3644555.0
cornell university,286531.85
cornell university ithaca,206966.08
cortechs,99991.0
"cortechs labs, inc.",221577.83
"cortex pharmaceuticals, inc.",287294.0
"corticometrics, llc",512643.71
countervail corporation,511708.75
"covalent associates, inc.",96189.0
"covance laboratories, inc.",
"creare, inc.",122959.33
"creative biomolecules, inc.",100000.0
creighton university,257324.56
"crinetics pharmaceuticals, inc.",326121.0
croptech corporation,215267.0
"curepsp, inc.",10000.0
"customkynetics, inc.",130380.0
cyberkinetics neurotechnology systems,393958.0
cyclotec advanced medical technologies,75000.0
"cygnus, inc.",263124.5
"cyion technologies, llc",335560.0
"cytodel, llc",223940.0
"cytokinetics, inc.",1739709.0
cytonics corporation,192300.0
"cytoprint, inc.",500760.0
"cytotherapeutics, inc.",134353.0
dana-farber cancer inst,415562.15
dana-farber cancer institute,298182.98
"darpharma, inc.",748722.0
dartmouth college,259442.61
dartmouth-hitchcock clinic,41800.0
davidson college,102426.0
"decode genetics, ehf",767719.0
delaware state university,107206.0
delaware water gap science institute,197229.0
"deltanu, llc",104523.0
denver health and hospital authority,161410.5
"dermaxon, llc",228479.0
"deschutes research, inc.",156191.0
"deseret laboratories, inc.",826423.0
"diagnostic consulting network, inc.",760528.5
"digitrace care services, inc.",209544.5
"dignify therapeutics, llc",531998.67
dimension technologies,380275.33
discoverx corporation,156250.0
doheny eye institute,202754.8
donna l romero,73500.0
"doty scientific, inc.",415554.4
drexel university,334954.84
